,project,name,join date,last active,timezone,worktime,duration,followers,total commits,collaborations,authored files,languages,commit rate,code commits,code commit rate,non code commits,non code commit rate,code contribution,code contribution rate,code contribution density,total issues,issue participated,issue comments received,issue solved,issue solving ratio,issue solving rate,issue contribution,issue contribution rate,total pull requests,pr participated,pr reviewed,pr merged,pr approval ratio,pr comments received,pr contribution,pr contribution rate
52,deeplearning4j,partarstu,2020-12-30 10:47:34,2023-05-07 12:29:10,1,6,859,1,1,3,1,1,0.0011641443538998,1,0.0011641443538998,0,0.0,8,0.009313154831199,8.0,9,1,4.555555555555555,0,0.0,0.0,9,0.0104772991850989,2,2,0,1,0.5,0.5,2,0.002328288707799767
53,deeplearning4j,ndthanhit,2023-09-06 07:04:46,2023-09-11 06:54:23,7,13,5,0,1,2,5,1,0.2,1,0.2,0,0.0,35,7.0,35.0,0,0,0.0,0,0.0,0.0,0,0.0,2,0,0,1,0.5,0.5,2,0.4
54,deeplearning4j,wmeddie,2016-01-30 02:19:38,2020-02-15 12:46:34,9,12,1478,95,1,11,2,1,0.0006765899864682,1,0.0006765899864682,0,0.0,21,0.0142083897158322,21.0,24,19,3.625,0,0.0,0.0,24,0.0162381596752368,8,13,6,6,0.75,1.125,14,0.009472259810554804
55,deeplearning4j,jcabot,2022-02-02 05:20:46,2022-02-02 08:31:01,1,9,1,76,1,2,1,1,1.0,1,1.0,0,0.0,5,5.0,5.0,0,0,0.0,0,0.0,0.0,0,0.0,1,0,0,1,1.0,2.0,1,1.0
56,deeplearning4j,valb3r,2023-08-26 10:23:35,2023-09-04 09:47:58,3,12,9,29,1,2,4,1,0.1111111111111111,1,0.1111111111111111,0,0.0,53,5.888888888888889,53.0,1,0,2.0,0,0.0,0.0,1,0.1111111111111111,1,0,0,1,1.0,2.0,1,0.1111111111111111
57,deeplearning4j,mjlorenzo305,2020-12-03 00:32:43,2021-01-21 02:50:36,-5,21,50,1,1,2,1,1,0.02,1,0.02,0,0.0,5,0.1,5.0,0,0,0.0,0,0.0,0.0,0,0.0,1,0,0,1,1.0,4.0,1,0.02
58,deeplearning4j,philip-khor,2019-10-14 04:29:13,2019-12-19 01:34:24,8,15,66,48,1,4,3,0,0.0151515151515151,0,0.0,1,0.0151515151515151,238,3.606060606060606,238.0,1,0,1.0,0,0.0,0.0,1,0.0151515151515151,3,0,0,1,0.3333333333333333,0.3333333333333333,3,0.045454545454545456
59,deeplearning4j,gnahtb,2022-03-05 20:31:35,2023-01-08 00:54:37,-4,7,309,4,1,2,2,1,0.0032362459546925,1,0.0032362459546925,0,0.0,35,0.1132686084142394,35.0,3,1,6.666666666666667,0,0.0,0.0,3,0.0097087378640776,1,0,0,1,1.0,0.0,1,0.003236245954692557
60,deeplearning4j,bpossolo,2020-04-26 16:02:31,2021-04-07 23:36:04,-7,9,347,11,1,4,3,1,0.0028818443804034,1,0.0028818443804034,0,0.0,105,0.3025936599423631,105.0,2,0,39.0,0,0.0,0.0,2,0.0057636887608069,1,0,0,1,1.0,2.0,1,0.002881844380403458
61,deeplearning4j,ionspin,2018-04-27 07:58:49,2021-08-11 09:42:46,2,11,1203,32,1,3,2,1,0.0008312551953449,1,0.0008312551953449,0,0.0,13,0.0108063175394846,13.0,1,1,2.0,1,1.0,0.0008312551953449,2,0.0016625103906899,2,0,0,1,0.5,0.5,2,0.0016625103906899418
62,deeplearning4j,braun-steven,2017-10-25 05:00:14,2019-09-18 09:48:39,2,21,694,52,1,4,1,1,0.0014409221902017,1,0.0014409221902017,0,0.0,2,0.0028818443804034,2.0,5,0,2.8,0,0.0,0.0,5,0.0072046109510086,4,0,0,3,0.75,0.25,4,0.005763688760806916
63,deeplearning4j,Ulrhol,2020-11-13 16:18:55,2020-11-15 22:35:01,1,23,3,5,1,3,1,1,0.3333333333333333,1,0.3333333333333333,0,0.0,2,0.6666666666666666,2.0,1,0,5.0,1,1.0,0.3333333333333333,2,0.6666666666666666,2,0,0,1,0.5,0.5,2,0.6666666666666666
64,deeplearning4j,yquemener,2017-08-17 07:44:00,2019-12-05 10:05:50,9,15,841,23,1,10,1,1,0.0011890606420927,1,0.0011890606420927,0,0.0,12,0.0142687277051129,12.0,7,1,2.571428571428572,0,0.0,0.0,7,0.0083234244946492,12,3,3,9,0.75,3.5833333333333335,15,0.0178359096313912
65,deeplearning4j,vvysotskyi,2021-09-03 12:40:05,2021-09-06 08:59:11,3,15,3,19,1,2,3,1,0.3333333333333333,1,0.3333333333333333,0,0.0,50,16.666666666666668,50.0,0,0,0.0,0,0.0,0.0,0,0.0,1,0,0,1,1.0,2.0,1,0.3333333333333333
