Name,Join Date,First Activity,Last Active,Last Activity,Duration,Timezone,Worktime,Total Commits,Authored files,Commit Rate,Code Commits,Code Commit Rate,Other Commits,Other Commit Rate,Code Contribution,Code Contribution Rate,Code Contribution Density,Total Issues,Issue Participated,Issue Solved,Issue Contribution,Issue Contribution Rate,Issue Solving Ratio,Issue Solving Density,Total Pull Requests,PR Merged,PR Reviewed,PR Participated,PR Contribution,PR Contribution Rate,PR Approval Ratio,PR Approval Density,Followers,Collaborations,Languages,File Types
jurim0301,2016-08-24 00:00:00,issue comment,2016-08-24 15:57:31,Commit 519d1e742011258742af664bb2a6db7a805add38,1,9,0,1,1,1.0,1,1.0,0,0.0,2,2.0,2.0,0,1,0,0,0.0,0.0,0.0,1,1,0,1,1,1.0,1.0,1.0,1,1,1,py_1
strategist333,2015-05-24 21:44:40,Raise PR 151,2015-05-24 21:51:33,Commit 4ad874c9c40c27b3faaad086987e5232fe893048,1,-7,14,1,1,1.0,1,1.0,0,0.0,2,2.0,2.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,6,1,1,py_1
rsokl,2016-12-21 23:59:03,Commit 72c7716902da61379aea15a059983ee0de843208,2016-12-21 23:59:03,Commit 72c7716902da61379aea15a059983ee0de843208,1,-5,18,1,1,1.0,1,1.0,0,0.0,61,61.0,61.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,151,0,1,py_1
SerbanVadineanu,2019-03-17 18:43:48,Raise PR 12506,2019-03-17 22:19:00,Commit 28ee86a51fa628f65a62d077e8dd9b7099b1749b,1,1,23,1,1,1.0,0,0.0,1,1.0,8,8.0,8.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,1,1,0,LICENSE_1
ilayaraja97,2018-04-08 00:00:00,issue comment,2019-02-15 20:42:58,Commit 12a83f88e74f06548deda8d1da60c38394ac572a,314,0,20,1,1,0.0031847133757961785,0,0.0,1,0.0031847133757961785,2,0.006369426751592357,2.0,0,1,0,0,0.0,0.0,0.0,1,1,0,1,1,0.0031847133757961785,1.0,0.0031847133757961785,19,1,0,md_1
tpinetz,2016-11-10 08:50:33,Raise PR 4341,2017-03-03 00:00:00,issue comment,113,1,21,1,1,0.008849557522123894,1,0.008849557522123894,0,0.0,4,0.035398230088495575,4.0,1,5,0,1,0.008849557522123894,0.0,0.0,1,1,0,1,1,0.008849557522123894,1.0,0.008849557522123894,4,1,1,py_1
cherryunix,2017-11-10 00:00:00,pr comment,2017-11-27 21:32:41,Commit cac44b56baec55b73f655f41f878380962140337,18,8,5,1,1,0.05555555555555555,1,0.05555555555555555,0,0.0,2,0.1111111111111111,2.0,0,1,0,0,0.0,0.0,0.0,1,1,0,2,1,0.05555555555555555,1.0,0.05555555555555555,4,1,1,py_1
ksindi,2017-04-05 01:35:50,Raise PR 6152,2018-02-23 00:00:00,pr comment,324,-5,14,1,2,0.0030864197530864196,1,0.0030864197530864196,0,0.0,233,0.7191358024691358,233.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.0030864197530864196,1.0,0.0030864197530864196,159,4,1,py_2
shoeffner,2019-09-11 00:00:00,issue comment,2019-09-11 20:16:43,Commit 3e8e2733ab281f50d03170c744cc42275f47c4fd,1,2,22,1,1,1.0,1,1.0,0,0.0,2,2.0,2.0,1,1,1,2,2.0,1.0,1.0,1,1,0,1,1,1.0,1.0,1.0,50,1,1,py_1
mikekestemont,2015-06-23 21:18:27,Raise Issue 272,2016-02-04 00:00:00,issue comment,226,2,22,1,1,0.004424778761061947,1,0.004424778761061947,0,0.0,84,0.37168141592920356,84.0,5,7,0,5,0.022123893805309734,0.0,0.0,1,1,0,2,1,0.004424778761061947,1.0,0.004424778761061947,112,5,1,py_1
moi90,2017-06-14 08:42:23,Raise PR 6982,2017-07-06 00:00:00,issue comment,22,2,18,1,2,0.045454545454545456,1,0.045454545454545456,0,0.0,36,1.6363636363636365,36.0,0,1,0,0,0.0,0.0,0.0,1,1,0,1,1,0.045454545454545456,1.0,0.045454545454545456,15,2,1,py_2
ppham27,2021-06-16 20:48:06,Commit ee65bec7221187ebdc85187ba555e8ed603c40f3,2021-06-16 20:48:06,Commit ee65bec7221187ebdc85187ba555e8ed603c40f3,1,-7,13,1,2,1.0,1,1.0,0,0.0,22,22.0,22.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,32,0,1,py_2
n17r4m,2017-07-06 21:30:23,Raise PR 7260,2017-07-08 10:10:53,Commit eae75fe2a6ee1994c9821c24bead7ad75bb9b452,2,-6,4,1,1,0.5,0,0.0,1,0.5,2,1.0,2.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.5,1.0,0.5,2,2,0,md_1
wptoux,2017-01-18 02:14:04,Raise PR 5070,2017-01-18 22:42:13,Commit 8f8d97e6150cf318a505fb7343ecff4ede76ba4f,1,8,6,1,1,1.0,1,1.0,0,0.0,2,2.0,2.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,28,2,1,py_1
yuanxiaosc,2018-09-06 08:06:11,Raise PR 11092,2018-09-29 00:00:00,pr comment,23,8,2,1,1,0.043478260869565216,1,0.043478260869565216,0,0.0,2,0.08695652173913043,2.0,0,0,0,0,0.0,0,0.0,3,1,0,3,3,0.13043478260869565,0.3333333333333333,0.014492753623188404,922,2,1,py_1
RyosukeHonda,2016-05-21 04:49:39,Raise PR 2770,2016-05-21 17:12:45,Commit 34d8cce6bca15c9fe2b30d5cc333db882558f789,1,9,2,1,1,1.0,1,1.0,0,0.0,2,2.0,2.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,13,2,1,py_1
zhjunqin,2021-10-19 00:00:00,pr comment,2021-11-18 00:00:00,pr comment,31,8,14,1,1,0.03225806451612903,1,0.03225806451612903,0,0.0,72,2.3225806451612905,72.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.03225806451612903,1.0,0.03225806451612903,5,1,1,py_1
durgeshm,2017-04-02 00:00:00,pr comment,2017-04-03 15:33:41,Commit b943176d2adec283e2bb4a4914c224681ed5a728,2,-4,11,1,2,0.5,0,0.0,1,0.5,23,11.5,23.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.5,1.0,0.5,2,1,0,theanorc_1 Dockerfile_1
liormagen,2015-11-02 14:39:18,Commit 742ccaa2cf186e64a03a7b1fd9076374f67aace1,2016-04-11 00:00:00,issue comment,161,2,16,1,1,0.006211180124223602,1,0.006211180124223602,0,0.0,2,0.012422360248447204,2.0,0,2,0,0,0.0,0.0,0.0,1,1,0,1,1,0.006211180124223602,1.0,0.006211180124223602,10,1,1,py_1
tushuhei,2016-08-03 00:00:00,issue comment,2017-10-28 00:00:00,issue comment,452,9,13,1,1,0.0022123893805309734,1,0.0022123893805309734,0,0.0,2,0.004424778761061947,2.0,0,2,0,0,0.0,0.0,0.0,1,1,0,1,1,0.0022123893805309734,1.0,0.0022123893805309734,89,1,1,py_1
strin,2016-09-06 23:58:03,Raise PR 3709,2016-09-09 23:47:51,Raise Issue 3737,3,-7,15,1,1,0.3333333333333333,1,0.3333333333333333,0,0.0,4,1.3333333333333333,4.0,2,3,0,2,0.6666666666666666,0.0,0.0,2,1,0,2,2,0.6666666666666666,0.5,0.16666666666666666,268,2,1,py_1
ChWick,2021-06-18 05:14:23,Commit be8468411ab57083a83214ea3593be7917165404,2021-06-18 05:14:23,Commit be8468411ab57083a83214ea3593be7917165404,1,-7,22,1,1,1.0,1,1.0,0,0.0,3,3.0,3.0,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,38,0,1,py_1
Tbuhet,2019-10-21 00:00:00,issue comment,2019-10-22 14:14:39,Commit ecac367b2372b5f2326fcd3ddd11718323427f4e,2,2,16,1,3,0.5,1,0.5,0,0.0,23,11.5,23.0,0,1,0,0,0.0,0.0,0.0,1,1,0,1,1,0.5,1.0,0.5,0,2,1,py_3
neuhofmo,2018-11-04 14:22:52,Raise PR 11569,2018-11-07 16:17:09,Commit a0e90bd845795a4e032a7ba82aadace76eddbcb3,4,2,18,1,1,0.25,0,0.0,1,0.25,6,1.5,6.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.25,1.0,0.25,6,1,0,md_1
MPiecuch,2017-09-22 00:00:00,pr comment,2017-09-25 08:01:49,Raise Issue 7983,4,2,0,1,2,0.25,1,0.25,0,0.0,14,3.5,14.0,1,1,0,1,0.25,0.0,0.0,1,1,0,1,1,0.25,1.0,0.25,0,3,1,py_2
mikesol,2018-01-19 13:20:43,Raise PR 9125,2018-01-27 00:00:00,issue comment,8,-8,12,1,1,0.125,1,0.125,0,0.0,2,0.25,2.0,1,1,0,1,0.125,0.0,0.0,1,1,0,1,1,0.125,1.0,0.125,85,2,1,py_1
patrikerdes,2017-07-24 00:00:00,issue comment,2017-09-13 20:15:25,Commit b8515d4b7b46a2d17c3ebda63482f3b992db27d3,52,2,22,1,1,0.019230769230769232,1,0.019230769230769232,0,0.0,7,0.1346153846153846,7.0,0,1,1,1,0.019230769230769232,1.0,0.019230769230769232,1,1,0,1,1,0.019230769230769232,1.0,0.019230769230769232,4,1,1,py_1
ofilip,2016-08-04 07:37:09,Raise PR 3392,2016-08-04 15:54:10,Commit ad3231c29a30d766dc4e56c64d81c25ca982cc86,1,2,17,1,1,1.0,1,1.0,0,0.0,4,4.0,4.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,3,1,1,py_1
jdespraz,2016-07-25 00:00:00,issue comment,2016-08-26 00:00:00,issue comment,33,2,18,1,1,0.030303030303030304,1,0.030303030303030304,0,0.0,17,0.5151515151515151,17.0,2,3,0,2,0.06060606060606061,0.0,0.0,2,1,0,3,2,0.06060606060606061,0.5,0.015151515151515152,0,1,1,py_1
Kongsea,2017-06-27 08:36:47,Raise PR 7144,2018-07-18 00:00:00,issue comment,386,-5,20,1,1,0.0025906735751295338,1,0.0025906735751295338,0,0.0,4,0.010362694300518135,4.0,0,1,0,0,0.0,0.0,0.0,1,1,0,1,1,0.0025906735751295338,1.0,0.0025906735751295338,45,1,1,py_1
StephanHeijl,2016-02-02 00:00:00,issue comment,2017-05-04 20:07:26,Commit b93d3b23f51ef282c90dcf924475eb1fcaa4151d,458,2,22,1,1,0.002183406113537118,1,0.002183406113537118,0,0.0,2,0.004366812227074236,2.0,1,2,0,1,0.002183406113537118,0.0,0.0,1,1,0,2,1,0.002183406113537118,1.0,0.002183406113537118,14,1,1,py_1
GregoryMorse,2019-09-30 04:59:50,Raise Issue 13377,2019-10-04 17:29:42,Commit 16bd239e34d853f3bf7ae99f14e0324f924ca371,5,2,19,1,1,0.2,1,0.2,0,0.0,4,0.8,4.0,1,1,0,1,0.2,0.0,0.0,1,1,0,1,1,0.2,1.0,0.2,71,1,1,py_1
kykim0,2021-11-20 22:04:57,Commit fdf220c4212f0743afabd7ff0bafcd3f0edc5ef9,2021-11-22 00:00:00,pr comment,2,-8,14,1,1,0.5,1,0.5,0,0.0,2,1.0,2.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.5,1.0,0.5,1,1,1,py_1
Indy9000,2017-05-20 21:42:41,Raise PR 6699,2017-08-13 15:13:27,Raise Issue 7630,85,1,18,1,1,0.011764705882352941,1,0.011764705882352941,0,0.0,4,0.047058823529411764,4.0,1,1,0,1,0.011764705882352941,0.0,0.0,2,1,0,2,2,0.023529411764705882,0.5,0.0058823529411764705,33,1,1,py_1
uschmidt83,2016-09-05 00:00:00,issue comment,2017-02-14 00:00:00,issue comment,163,1,1,1,1,0.006134969325153374,1,0.006134969325153374,0,0.0,6,0.03680981595092025,6.0,0,4,1,1,0.006134969325153374,0.25,0.0015337423312883436,1,1,0,1,1,0.006134969325153374,1.0,0.006134969325153374,80,1,1,py_1
dschwertfeger,2017-08-29 14:57:07,Raise PR 7766,2018-06-12 00:00:00,issue comment,287,2,0,1,3,0.003484320557491289,1,0.003484320557491289,0,0.0,216,0.7526132404181185,216.0,0,5,0,0,0.0,0.0,0.0,1,1,0,90,1,0.003484320557491289,1.0,0.003484320557491289,9,4,1,py_3
leotac,2018-05-17 14:07:19,Raise PR 10223,2018-05-17 16:57:53,Commit 91c701e282592865b453ca25e572ac48fe6a3672,1,2,18,1,1,1.0,1,1.0,0,0.0,2,2.0,2.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,42,1,1,py_1
jeremyfix,2017-06-01 09:07:43,Raise PR 6816,2017-06-06 16:20:49,Commit 3c180eafedf86d9dee1ced94f31d46d83bb9a92d,6,2,18,1,3,0.16666666666666666,1,0.16666666666666666,0,0.0,37,6.166666666666667,37.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.16666666666666666,1.0,0.16666666666666666,45,1,1,py_3
