Name,Join Date,First Activity,Last Active,Last Activity,Duration,Timezone,Worktime,Total Commits,Authored files,Commit Rate,Code Commits,Code Commit Rate,Other Commits,Other Commit Rate,Code Contribution,Code Contribution Rate,Code Contribution Density,Total Issues,Issue Participated,Issue Solved,Issue Contribution,Issue Contribution Rate,Issue Solving Ratio,Issue Solving Density,Total Pull Requests,PR Merged,PR Reviewed,PR Participated,PR Contribution,PR Contribution Rate,PR Approval Ratio,PR Approval Density,Followers,Collaborations,Languages,File Types
iblislin,2017-03-09 16:14:39,Commit fa25ad6f4ad1769bd86c3ae9a0c5c3bd050cef5d,2020-08-03 19:28:08,Commit 7a5a48835b656786730488f1ec647862670aa53a,1244,8,13,164,232,0.13183279742765272,12,0.00964630225080386,152,0.12218649517684887,37789,30.377009646302252,230.42073170731706,2,99,9,11,0.008842443729903537,0.09090909090909091,7.307804735457468e-05,31,28,22,242,53,0.04260450160771704,0.9032258064516129,0.0007260657608131936,188,40,3,jl_554 md_105 sh_24 yml_18 REQUIRE_7 py_6 gitignore_6 toml_4 ps1_4 Makefile_4 groovy_3 h_3 rat-excludes_2 Prediction_2 with_2 Pre-trained_2 ipynb_2 gitattributes_2 png_2 Jenkinsfile_windows_cpu_1 CODEOWNERS_1 Jenkinsfile_unix_cpu_1 ubuntu_cpu_1 Jenkinsfile_1 svg_1 enc_1
larroy,2016-12-21 14:40:36,Raise PR 4320,2020-05-28 02:49:54,Reviewed PR 18424,1254,1,19,162,411,0.1291866028708134,133,0.10606060606060606,29,0.023125996810207338,13719,10.940191387559809,84.68518518518519,40,140,16,56,0.044657097288676235,0.11428571428571428,9.11369332421964e-05,242,170,244,760,486,0.3875598086124402,0.7024793388429752,0.0005601908603213518,123,101,5,py_154 sh_114 cc_71 h_54 md_50 txt_27 Jenkinsfile_14 ps1_10 Makefile_9 yml_6 ipynb_6 dmlc-core_6 jetson_6 mk_6 mshadow_6 ubuntu_build_cuda_5 ubuntu_nightly_gpu_5 ubuntu_cpu_5 armv7_5 ubuntu_base_cpu_4 ubuntu_base_gpu_4 ubuntu_nightly_cpu_4 armv6_4 android_armv7_4 ubuntu_gpu_4 scala_4 android_arm64_4 Jenkinsfile_unix_cpu_3 Jenkinsfile_edge_3 cu_3 cfg_3 android_armv8_3 armv8_3 ubuntu_rat_3 ubuntu_blc_3 arm64_3 04_3 Jenkinsfile_unix_gpu_2 Jenkinsfile_windows_cpu_2 groovy_2 Jenkinsfile_windows_gpu_2 rst_2 clj_2 gitignore_2 arm_qemu_2 centos7_gpu_2 ubuntu_gpu_tensorrt_2 centos7_cpu_2 gpg_2 gitmodules_2 requirements_1 tvm_1 ubuntu_gpu_cu90_1 ubuntu_gpu_cu100_1 ubuntu_gpu_cu92_1 cmake_1 Jenkinsfile_sanity_1 Jenkinsfile_website_1 Jenkinsfile_miscellaneous_1 Jenkinsfile_centos_gpu_1 Jenkinsfile_centos_cpu_1 Jenkinsfile_clang_1 CODEOWNERS_1 inittab_1 pip_cpu_1 pip_cu80_1 pylintrc_1 pip_dependencies_1 pip_cu75_1 hpp_1 cpp_1 googletest_1 r_1 0_cudnn5_1 perl_1 python_1 julia_1 docker_1
sxjscience,2015-10-22 00:00:00,issue comment,2021-02-12 23:46:59,Reviewed PR 19894,1941,8,11,149,530,0.07676455435342606,130,0.06697578567748583,19,0.009788768675940238,42404,21.846470891293148,284.59060402684565,92,638,0,92,0.04739824832560536,0.0,0.0,145,122,172,558,317,0.16331787738279238,0.8413793103448276,0.0004334772335625078,636,123,5,py_290 h_183 cc_125 md_51 Rd_49 cu_40 mshadow_18 xml_17 mk_12 Makefile_10 sh_9 dmlc-core_9 R_9 m_6 cmake_5 txt_5 ipynb_5 DESCRIPTION_4 ps-lite_4 gitignore_4 cpp_4 NAMESPACE_3 cuh_2 pyx_2 pyi_1 yaml_1 gitmodules_1 html_1 LICENSE_1 yml_1 00Index_1 win_1 json_1
haojin2,2018-03-08 00:00:00,issue comment,2020-05-01 00:00:00,pr comment,786,-7,22,138,348,0.17557251908396945,132,0.16793893129770993,6,0.007633587786259542,36551,46.50254452926209,264.8623188405797,24,230,3,27,0.03435114503816794,0.013043478260869565,1.659475605708596e-05,175,147,336,754,511,0.6501272264631043,0.84,0.001068702290076336,60,87,3,py_306 h_171 cc_142 cu_73 xml_18 cuh_17 md_6 ps1_4 pxi_3 dmlc-core_3 pyx_2 Makefile_1 requirements_1 Jenkinsfile_unix_cpu_1 hpp_1 DESCRIPTION_1 yaml_1 pm_1
aaronmarkham,2017-09-16 23:19:31,Reviewed PR 7921,2020-07-27 00:00:00,pr comment,1045,-7,16,134,237,0.12822966507177033,45,0.0430622009569378,89,0.08516746411483253,24210,23.167464114832537,180.67164179104478,121,273,3,124,0.11866028708133972,0.01098901098901099,1.0515799989484201e-05,151,136,257,775,408,0.39043062200956935,0.9006622516556292,0.0008618777527805064,36,116,4,md_238 py_37 sh_35 html_25 js_18 htaccess_9 scala_8 ini_7 yml_5 rst_5 Jenkinsfile_5 h_3 Dockerfile_3 Makefile_2 groovy_2 jl_2 ps1_2 png_2 cc_2 Jenkinsfile-dev_2 css_2 Gemfile_1 ubuntu_cpu_jekyll_1 lock_1 Makefile_sphinx_1 Jenkinsfile_website_beta_1 CODEOWNERS_1 Jenkinsfile_website_1 LICENSE_1 ubuntu_nightly_gpu_1 docs_requirements_1 ubuntu_nightly_cpu_1 ubuntu_gpu_1 ubuntu_cpu_1 txt_1
yajiedesign,2015-10-06 16:36:17,Commit c6d2a848997b1804a0e32e6f106392b81be4bac3,2020-11-12 04:37:00,Commit ea4e2b3c7c081390015480beaa82d4814939b55e,1864,8,11,126,405,0.06759656652360516,104,0.055793991416309016,22,0.011802575107296138,19862,10.655579399141631,157.63492063492063,12,746,0,12,0.006437768240343348,0.0,0.0,99,77,19,285,118,0.06330472103004292,0.7777777777777778,0.0004172627563185503,46,79,6,py_157 h_127 cc_80 Rd_78 md_51 txt_27 R_23 cu_20 cmake_12 Makefile_7 ps-lite_7 dmlc-core_6 Rmd_6 gitignore_5 mshadow_4 ipynb_4 cpp_3 Jenkinsfile_3 pyx_2 sh_2 java_2 NAMESPACE_2 mkldnn_1 scala_1 incept_6_1 incept_5_1 incept_7_1 incept_4_1
terrytangyuan,2015-11-02 00:00:00,issue comment,2022-01-04 03:43:59,Commit 4fc58fa1862a00c1af0788c6ce0ab19015f512d7,2256,-6,20,118,196,0.05230496453900709,37,0.016400709219858155,81,0.03590425531914894,15019,6.657358156028369,127.27966101694915,7,195,0,7,0.0031028368794326243,0.0,0.0,16,15,10,53,26,0.01152482269503546,0.9375,0.0004155585106382979,2950,36,5,scala_194 Rd_42 xml_37 sh_34 md_30 cc_23 h_20 R_17 py_13 yml_10 gitignore_6 m_6 Makefile_5 properties_3 DESCRIPTION_3 dmlc-core_2 mshadow_2 ps-lite_2 LICENSE_2 c_2 png_1 html_1 win_1 00Index_1 cu_1 mk_1 NAMESPACE_1 txt_1
sneakerkg,2015-08-22 05:05:57,Commit 63ff6d054daa9aeb4ef2a974aaa9b22d37dd3f07,2017-05-26 00:00:00,pr comment,643,8,12,110,191,0.17107309486780714,104,0.16174183514774496,6,0.00933125972006221,37676,58.59409020217729,342.5090909090909,0,10,0,0,0.0,0.0,0.0,7,6,0,12,7,0.01088646967340591,0.8571428571428571,0.0013330371028660297,133,14,4,h_287 py_225 cc_184 md_35 Makefile_27 cu_11 dmlc-core_6 mk_5 mshadow_5 gitignore_5 yml_2 sh_2 ipynb_1 README_1 bak_1
ptrendx,2016-12-16 23:24:42,Raise PR 4264,2022-03-15 00:00:00,pr comment,1915,-7,16,107,385,0.05587467362924282,91,0.04751958224543081,16,0.00835509138381201,40215,21.0,375.8411214953271,4,131,0,4,0.0020887728459530026,0.0,0.0,142,131,128,430,270,0.1409921671018277,0.9225352112676056,0.00048174162468282277,137,101,4,h_216 cc_162 py_116 cu_70 cuh_24 md_19 cmake_3 Makefile_3 txt_2 mk_2 dmlc-core_2 cub_2 Jenkinsfile_unix_gpu_1 sh_1 rst_1 groovy_1 nvidia_cub_1 html_1 KEYS_1 tvm_1 nnvm_1 gitmodules_1
kevinthesun,2016-10-18 00:00:00,issue comment,2018-04-14 00:00:00,pr comment,544,-7,14,104,148,0.19117647058823528,34,0.0625,70,0.12867647058823528,24895,45.762867647058826,239.375,8,69,0,8,0.014705882352941176,0.0,0.0,123,107,4,149,127,0.23345588235294118,0.8699186991869918,0.001599115255858441,97,43,4,md_125 py_46 js_44 css_41 html_39 sh_12 txt_4 ipynb_3 gitignore_2 mshadow_2 mk_1 png_1 cc_1 doc_1 h_1 spell_checker_1 amzn_linux_cpu_1 dmlc-core_1
