Name,Join Date,First Activity,Last Active,Last Activity,Duration,Timezone,Worktime,Total Commits,Authored files,Commit Rate,Code Commits,Code Commit Rate,Other Commits,Other Commit Rate,Code Contribution,Code Contribution Rate,Code Contribution Density,Total Issues,Issue Participated,Issue Solved,Issue Contribution,Issue Contribution Rate,Issue Solving Ratio,Issue Solving Density,Total Pull Requests,PR Merged,PR Reviewed,PR Participated,PR Contribution,PR Contribution Rate,PR Approval Ratio,PR Approval Density,Followers,Collaborations,Languages,File Types
mdenil,2013-11-27 00:00:00,pr comment,2013-11-27 01:13:31,Raise PR 1630,1,-8,16,1,2,1.0,1,1.0,0,0.0,8,8.0,8.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,147,2,1,py_2
andresgottlieb,2016-11-07 21:23:11,Raise Issue 5195,2016-11-16 19:41:47,Raise PR 5235,9,-3,16,1,1,0.1111111111111111,0,0.0,1,0.1111111111111111,2,0.2222222222222222,2.0,1,1,0,1,0.1111111111111111,0.0,0.0,1,1,0,1,1,0.1111111111111111,1.0,0.1111111111111111,61,1,0,txt_1
prayagverma,2016-01-30 18:40:35,Commit 61c71ab67952e2ba2fe42d64943849d3b92bd476,2016-01-30 18:40:44,Raise PR 3955,1,5,23,1,1,1.0,0,0.0,1,1.0,2,2.0,2.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,108,1,0,txt_1
1fish2,2020-07-03 00:00:00,issue comment,2020-07-27 15:22:04,Commit c807dd080dcb820f4890e2766f7a80c1d6af744a,25,-7,8,1,22,0.04,1,0.04,0,0.0,84,3.36,84.0,0,1,1,1,0.04,1.0,0.04,1,1,0,1,1,0.04,1.0,0.04,16,2,1,py_20 txt_1 gitignore_1
n1ghtmare,2017-02-05 00:00:00,issue comment,2017-02-06 07:59:18,Raise PR 5497,2,4,11,1,1,0.5,1,0.5,0,0.0,1,0.5,1.0,0,1,1,1,0.5,1.0,0.5,1,1,0,1,1,0.5,1.0,0.5,32,2,1,py_1
aelaguiz,2012-12-16 00:00:00,issue comment,2013-01-07 15:59:36,Raise PR 1151,23,-6,16,1,1,0.043478260869565216,0,0.0,1,0.043478260869565216,4,0.17391304347826086,4.0,2,2,0,2,0.08695652173913043,0.0,0.0,2,1,0,2,2,0.08695652173913043,0.5,0.021739130434782608,31,1,0,txt_1
NeilGirdhar,2016-02-09 00:00:00,issue comment,2017-07-18 00:00:00,issue comment,526,-4,8,1,3,0.0019011406844106464,1,0.0019011406844106464,0,0.0,108,0.20532319391634982,108.0,10,12,0,10,0.019011406844106463,0.0,0.0,2,0,0,4,2,0.0038022813688212928,0.0,0.0,24,6,1,py_2 yml_1
reyoung,2015-03-06 01:50:06,Commit 0cb8966caf0f01c6d32c746149bf0b5bf86f8226,2015-03-06 01:58:58,Raise PR 2566,1,8,9,1,1,1.0,1,1.0,0,0.0,4,4.0,4.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,218,1,1,py_1
dwiel,2015-12-31 15:50:20,Commit cfbc73b9b941af8a06d4ee7771b24f0900c5c743,2015-12-31 15:50:28,Raise PR 3828,1,-5,10,1,1,1.0,1,1.0,0,0.0,2,2.0,2.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,46,1,1,py_1
yhlam,2014-03-21 13:41:56,Commit f42f9dff399132415bf28428a3fddbc9e3a443c2,2014-03-21 13:57:47,Raise PR 1777,1,8,21,1,1,1.0,1,1.0,0,0.0,8,8.0,8.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,7,1,1,py_1
mesnilgr,2012-02-14 00:00:00,pr comment,2012-02-15 21:12:53,Commit d06616d19e3765921531d5cc6e78a16242725c91,2,-8,13,1,1,0.5,1,0.5,0,0.0,14,7.0,14.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.5,1.0,0.5,161,1,1,py_1
danieldjohnson,2016-06-23 16:29:37,Raise Issue 4662,2016-07-28 05:53:04,Raise PR 4798,35,-7,22,1,2,0.02857142857142857,1,0.02857142857142857,0,0.0,21,0.6,21.0,1,1,0,1,0.02857142857142857,0.0,0.0,1,1,0,1,1,0.02857142857142857,1.0,0.02857142857142857,276,1,1,py_2
lzamparo,2013-02-15 16:46:14,Raise Issue 1231,2015-02-05 00:00:00,issue comment,720,-4,18,1,1,0.001388888888888889,1,0.001388888888888889,0,0.0,5,0.006944444444444444,5.0,3,4,0,3,0.004166666666666667,0.0,0.0,1,1,0,1,1,0.001388888888888889,1.0,0.001388888888888889,8,4,1,py_1
albertz,2015-08-04 09:03:03,Commit fe86c9a6d7c789d707735bbaadfcd60822e492e2,2016-04-25 18:52:17,Raise Issue 4433,266,2,11,1,1,0.0037593984962406013,1,0.0037593984962406013,0,0.0,6,0.022556390977443608,6.0,3,3,0,3,0.011278195488721804,0.0,0.0,1,1,0,1,1,0.0037593984962406013,1.0,0.0037593984962406013,247,4,1,py_1
jordan-melendez,2018-01-30 16:04:35,Commit 22e414ff2e8c1191d4667089b810accb92307531,2018-01-30 16:12:47,Raise PR 6557,1,-5,11,1,1,1.0,1,1.0,0,0.0,5,5.0,5.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,1.0,1.0,1.0,15,1,1,py_1
eickenberg,2015-03-08 15:49:16,Commit 09773611fc26f56a8b11c90384748f3fc407046e,2015-06-26 00:00:00,pr comment,110,1,16,1,2,0.00909090909090909,1,0.00909090909090909,0,0.0,103,0.9363636363636364,103.0,0,0,0,0,0.0,0,0.0,1,0,0,1,1,0.00909090909090909,0.0,0.0,38,2,1,py_2
morrme,2017-05-07 00:00:00,issue comment,2017-05-15 14:45:48,Raise PR 5944,9,-5,9,1,1,0.1111111111111111,1,0.1111111111111111,0,0.0,839,93.22222222222223,839.0,0,2,1,1,0.1111111111111111,0.5,0.05555555555555555,1,1,0,1,1,0.1111111111111111,1.0,0.1111111111111111,11,1,1,py_1
mbojrab,2017-02-22 00:00:00,issue comment,2017-02-22 22:40:38,Raise PR 5605,1,-5,15,1,1,1.0,0,0.0,1,1.0,8,8.0,8.0,1,1,0,1,1.0,0.0,0.0,1,1,0,1,1,1.0,1.0,1.0,2,2,0,cu_1
madisonmay,2014-08-01 00:00:00,pr comment,2014-10-20 14:31:57,Raise PR 2193,81,-4,10,1,1,0.012345679012345678,0,0.0,1,0.012345679012345678,2,0.024691358024691357,2.0,0,2,0,0,0.0,0.0,0.0,1,1,0,5,1,0.012345679012345678,1.0,0.012345679012345678,273,1,0,txt_1
denadai2,2014-08-28 00:00:00,pr comment,2014-10-02 00:00:00,issue comment,36,2,14,1,1,0.027777777777777776,1,0.027777777777777776,0,0.0,2,0.05555555555555555,2.0,1,1,0,1,0.027777777777777776,0.0,0.0,1,1,0,1,1,0.027777777777777776,1.0,0.027777777777777776,81,2,1,py_1
wuaalb,2015-10-14 15:29:55,Raise Issue 3514,2015-10-14 16:45:39,Raise PR 3515,1,2,18,1,1,1.0,0,0.0,1,1.0,34,34.0,34.0,1,1,0,1,1.0,0.0,0.0,1,1,0,1,1,1.0,1.0,1.0,50,2,0,cu_1
valtron,2017-02-14 00:00:00,issue comment,2017-02-14 23:26:22,Raise PR 5547,1,-7,16,1,1,1.0,1,1.0,0,0.0,14,14.0,14.0,0,1,1,1,1.0,1.0,1.0,1,1,0,1,1,1.0,1.0,1.0,11,2,1,py_1
yaroslavvb,2014-09-25 00:00:00,pr comment,2014-11-24 23:43:52,Raise Issue 2295,61,-7,18,1,1,0.01639344262295082,1,0.01639344262295082,0,0.0,3,0.04918032786885246,3.0,4,5,0,4,0.06557377049180328,0.0,0.0,0,0,0,1,0,0.0,0,0.0,767,4,1,py_1
